university_id,university_name,intake_pack_exists,inventory_exists,homepage_url,recruitment_url,fetch_status,candidate_links_count,requires_human_attention,blocking_status,last_updated_utc
it-unipg,Università degli Studi di Perugia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-univpm,Università Politecnica delle Marche,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unirsm,Università degli Studi della Repubblica di San Marino,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unisalento,Università del Salento,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unisa,Università degli Studi di Salerno,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unisannio,Università degli Studi del Sannio,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unistrapg,Università per Stranieri di Perugia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unistrasi,Università per Stranieri di Siena,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unite,Università degli Studi di Teramo,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unitn,Università degli Studi di Trento,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-units,Università degli Studi di Trieste,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uniud,Università degli Studi di Udine,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uniurb,Università degli Studi di Urbino Carlo Bo,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-univda,Università della Valle d'Aosta,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-univr,Università degli Studi di Verona,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unitus,Università degli Studi della Tuscia,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-uinsubria,Università degli Studi dell'Insubria,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
it-unipiemonteorientale,Università del Piemonte Orientale,yes,yes,,,pending_fetch,0,yes,awaiting_bounded_fetch,2026-05-17T18:00:38Z
