decision_id,university_name,official_homepage_url,recruitment_page_url,decision,review_notes,reviewed_by,reviewed_at_utc
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgUm9tYSBUb3IgVmVyZ2F0YXx8aHR0cHM6Ly93ZWIudW5pcm9tYTIuaXQvfHxodHRwczovL3dlYi51bmlyb21hMi5pdC9pdC9jb250ZW51dG8vY29uY29yc2k,Università degli Studi di Roma Tor Vergata,https://web.uniroma2.it/,https://web.uniroma2.it/it/contenuto/concorsi,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgU2FsZXJub3x8aHR0cHM6Ly93d3cudW5pc2EuaXQvfHw,Università degli Studi di Salerno,https://www.unisa.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgU2Fzc2FyaXx8aHR0cHM6Ly93d3cudW5pc3MuaXQvfHxodHRwczovL3d3dy51bmlzcy5pdC9iYW5kaQ,Università degli Studi di Sassari,https://www.uniss.it/,https://www.uniss.it/bandi,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgU2llbmF8fGh0dHBzOi8vd3d3LnVuaXNpLml0L3x8aHR0cHM6Ly93d3cudW5pc2kuaXQvYXRlbmVvL2NvbmNvcnNp,Università degli Studi di Siena,https://www.unisi.it/,https://www.unisi.it/ateneo/concorsi,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgVGVyYW1vfHxodHRwczovL3d3dy51bml0ZS5pdC98fA,Università degli Studi di Teramo,https://www.unite.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgVG9yaW5vfHxodHRwczovL3d3dy51bml0by5pdC98fGh0dHBzOi8vd3d3LnVuaXRvLml0L2F0ZW5lby9sYXZvcmEtY29uLW5vaQ,Università degli Studi di Torino,https://www.unito.it/,https://www.unito.it/ateneo/lavora-con-noi,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgVHJlbnRvfHxodHRwczovL3d3dy51bml0bi5pdC98fA,Università degli Studi di Trento,https://www.unitn.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgVHJpZXN0ZXx8aHR0cHM6Ly93d3cudW5pdHMuaXQvfHw,Università degli Studi di Trieste,https://www.units.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgVWRpbmV8fGh0dHBzOi8vd3d3LnVuaXVkLml0L3x8,Università degli Studi di Udine,https://www.uniud.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGkgVXJiaW5vIENhcmxvIEJvfHxodHRwczovL3d3dy51bml1cmIuaXQvfHw,Università degli Studi di Urbino Carlo Bo,https://www.uniurb.it/,,accepted,,,2026-05-17T15:06:43.879Z
