committee_member_id,procedure_id,person_name,role_in_committee,affiliation,department,academic_field,source_document_id,source_url,confidence_level,notes
ACU-PILOT-0001-CM-01,ACU-PILOT-0001,Mattioli Anna Vittoria,componente,Università di Bologna,,06/MEDS-26,ACU-PILOT-0001-DOC-04,https://bandi.unibo.it/s/apos5/rif-3282-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-dipartimento-dimevet-gsd-06-meds-26-bo/documenti/nomina-commissione.pdf/%40%40download/file/nomina%20commissione.pdf,high,Role reported as componente in official committee appointment document; presidente e segretario are indicated as defined at first meeting.
ACU-PILOT-0001-CM-02,ACU-PILOT-0001,Manganelli Riccardo,componente,Università degli Studi di Padova,,06/MEDS-26,ACU-PILOT-0001-DOC-04,https://bandi.unibo.it/s/apos5/rif-3282-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-dipartimento-dimevet-gsd-06-meds-26-bo/documenti/nomina-commissione.pdf/%40%40download/file/nomina%20commissione.pdf,high,Role reported as componente in official committee appointment document; presidente e segretario are indicated as defined at first meeting.
ACU-PILOT-0001-CM-03,ACU-PILOT-0001,Di Domenico Marina,componente,"Università degli Studi della Campania ""L. Vanvitelli""",,06/MEDS-26,ACU-PILOT-0001-DOC-04,https://bandi.unibo.it/s/apos5/rif-3282-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-dipartimento-dimevet-gsd-06-meds-26-bo/documenti/nomina-commissione.pdf/%40%40download/file/nomina%20commissione.pdf,high,Role reported as componente in official committee appointment document; presidente e segretario are indicated as defined at first meeting.
ACU-PILOT-0002-CM-01,ACU-PILOT-0002,Gianollo Chiara,componente,Università di Bologna,,GLOT-01/A,ACU-PILOT-0002-DOC-04,https://bandi.unibo.it/s/apos5/rif-853-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-ficlit-gsd-10-glot-01-ssd-glot-01-a-bo/documenti/nomina-commissione.pdf/%40%40download/file/nomina%20commissione.pdf,high,Role reported as componente in official committee appointment document; presidente e segretario are indicated as defined at first meeting.
ACU-PILOT-0002-CM-02,ACU-PILOT-0002,Vietti Alessandro,componente,Libera Università di Bolzano,,GLOT-01/A,ACU-PILOT-0002-DOC-04,https://bandi.unibo.it/s/apos5/rif-853-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-ficlit-gsd-10-glot-01-ssd-glot-01-a-bo/documenti/nomina-commissione.pdf/%40%40download/file/nomina%20commissione.pdf,high,Role reported as componente in official committee appointment document; presidente e segretario are indicated as defined at first meeting.
ACU-PILOT-0002-CM-03,ACU-PILOT-0002,Chiusaroli Francesca,componente,Università degli Studi di Macerata,,GLOT-01/A,ACU-PILOT-0002-DOC-04,https://bandi.unibo.it/s/apos5/rif-853-bando-per-1-posto-da-ricercatore-a-tempo-determinato-tipo-rtt-ficlit-gsd-10-glot-01-ssd-glot-01-a-bo/documenti/nomina-commissione.pdf/%40%40download/file/nomina%20commissione.pdf,high,Role reported as componente in official committee appointment document; presidente e segretario are indicated as defined at first meeting.
