university_id,source_url,http_status,content_type,page_title,observed_at_utc,error
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T17:41:47Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T18:34:40Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T19:28:56Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T21:04:35Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T21:46:20Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T22:18:20Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T22:49:57Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T23:20:08Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-20T23:52:50Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T00:22:42Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T01:24:28Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T02:16:20Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T03:31:24Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T05:01:41Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T06:31:27Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T07:58:20Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T09:18:29Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T10:35:43Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T11:45:27Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T12:45:19Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T13:50:04Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T14:53:28Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T16:04:11Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T17:06:42Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T17:48:46Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T18:27:24Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T19:58:29Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T20:42:56Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T21:18:43Z,HTTP Error 404: Not Found
it-unito,https://www.unito.it/ateneo/lavora-con-noi,,,,2026-05-21T21:53:06Z,HTTP Error 404: Not Found
